#,Pokemon,XP,HP,ATK,DEF,SPA,SPD,SPE,Total EVs,BST,Type 1,Type 2,Weight,Base Friendship
1,Bulbasaur,64,0,0,0,1,0,0,1,318,Grass,Poison,69,70
2,Ivysaur,141,0,0,0,1,1,0,2,405,Grass,Poison,130,70
3,Venusaur,208,0,0,0,2,1,0,3,525,Grass,Poison,1000,70
4,Charmander,65,0,0,0,0,0,1,1,309,Fire,,85,70
5,Charmeleon,142,0,0,0,1,0,1,2,405,Fire,,190,70
6,Charizard,209,0,0,0,3,0,0,3,534,Fire,Flying,905,70
7,Squirtle,66,0,0,1,0,0,0,1,314,Water,,90,70
8,Wartortle,143,0,0,1,0,1,0,2,405,Water,,225,70
9,Blastoise,210,0,0,0,0,3,0,3,530,Water,,855,70
10,Caterpie,53,1,0,0,0,0,0,1,195,Bug,,29,70
11,Metapod,72,0,0,2,0,0,0,2,205,Bug,,99,70
12,Butterfree,160,0,0,0,2,1,0,3,385,Bug,Flying,320,70
13,Weedle,52,0,0,0,0,0,1,1,195,Bug,Poison,32,70
14,Kakuna,71,0,0,2,0,0,0,2,205,Bug,Poison,100,70
15,Beedrill,159,0,2,0,0,1,0,3,385,Bug,Poison,295,70
16,Pidgey,55,0,0,0,0,0,1,1,251,Normal,Flying,18,70
17,Pidgeotto,113,0,0,0,0,0,2,2,349,Normal,Flying,300,70
18,Pidgeot,172,0,0,0,0,0,3,3,469,Normal,Flying,395,70
19,Rattata,57,0,0,0,0,0,1,1,253,Normal,,35,70
20,Raticate,116,0,0,0,0,0,2,2,413,Normal,,185,70
21,Spearow,58,0,0,0,0,0,1,1,262,Normal,Flying,20,70
22,Fearow,162,0,0,0,0,0,2,2,442,Normal,Flying,380,70
23,Ekans,62,0,1,0,0,0,0,1,288,Poison,,69,70
24,Arbok,147,0,2,0,0,0,0,2,438,Poison,,650,70
25,Pikachu,82,0,0,0,0,0,2,2,300,Electric,,60,70
26,Raichu,122,0,0,0,0,0,3,3,475,Electric,,300,70
27,Sandshrew,93,0,0,1,0,0,0,1,300,Ground,,120,70
28,Sandslash,163,0,0,2,0,0,0,2,450,Ground,,295,70
29,Nidoran♀,59,1,0,0,0,0,0,1,275,Poison,,70,70
30,Nidorina,117,2,0,0,0,0,0,2,365,Poison,,200,70
31,Nidoqueen,194,3,0,0,0,0,0,3,495,Poison,Ground,600,70
32,Nidoran♂,60,0,1,0,0,0,0,1,273,Poison,,90,70
33,Nidorino,118,0,2,0,0,0,0,2,365,Poison,,195,70
34,Nidoking,195,0,3,0,0,0,0,3,495,Poison,Ground,620,70
